20184920455  	0.0264	0.9545	0.1679	
20184920456  	0.1074	1.0189	0.2489	
20184920456  	0.1381	0.9243	0.4690	
20184920456  	0.0332	0.6617	0.4021	
20184920456  	-0.1210	0.7296	0.3880	
20184920456  	0.0586	1.0507	0.4724	
20184920456  	0.4558	1.0653	0.2040	
20184920456  	-0.1410	0.8194	0.3060	
20184920456  	0.3987	0.7486	0.3426	
20184920456  	0.4065	0.9628	0.4846	
20184920456  	0.2835	1.0521	0.4743	
20184920457  	0.2957	1.0477	0.3582	
20184920457  	0.2206	0.9638	0.2025	
20184920457  	0.2528	0.7735	0.1947	
20184920457  	0.6695	0.7056	0.1708	
20184920457  	0.1532	0.9648	0.5114	
20184920457  	0.3728	0.9106	0.4524	
20184920457  	0.4006	0.8398	0.3826	
20184920457  	0.3655	0.8569	0.3811	
20184920457  	0.4324	0.8316	0.3831	
20184920457  	0.3645	0.8223	0.3811	
20184920458  	0.3372	0.7647	0.3109	
20184920458  	0.3689	0.8579	0.3475	
20184920458  	0.3665	0.8462	0.3621	
20184920458  	0.4119	0.7940	0.3099	
20184920458  	0.3855	0.7701	0.3353	
20184920458  	0.3270	0.7652	0.3733	
20184920458  	0.3958	0.8237	0.3694	
20184920458  	0.3260	0.7974	0.3675	
20184920458  	0.3499	0.7788	0.3650	
20184920458  	0.3631	0.7740	0.3338	
20184920459  	0.3509	0.8174	0.3821	
20184920459  	0.3514	0.7881	0.3719	
20184920459  	0.3792	0.8535	0.3758	
20184920459  	0.3909	0.8662	0.3777	
20184920459  	0.3606	0.8286	0.3479	
20184920459  	0.4021	0.7950	0.3523	
20184920459  	0.3694	0.8574	0.3870	
20184920459  	0.4143	0.8306	0.3928	
20184920459  	0.4016	0.8833	0.3514	
20184920459  	0.3831	0.7715	0.3938	
2018492050  	0.3821	0.8525	0.3924	
2018492050  	0.3762	0.8457	0.3865	
2018492050  	0.3665	0.8633	0.3445	
2018492050  	0.6612	1.0555	0.4358	
2018492050  	0.3523	0.8159	-0.1054	
2018492050  	0.6354	0.3294	-0.2674	
2018492050  	0.2084	0.9028	-0.0005	
2018492050  	0.0068	0.9643	0.2274	
2018492050  	-0.0917	0.8877	0.3958	
2018492050  	-0.2547	0.8062	0.3884	
